id,Title,bodyPart,target,Equipment,secondaryMuscles,instructions,Desc,difficulty,category,updated_at,gifUrl,exercise_type
28,barbell clean and press,upper legs,quads,barbell,"[""hamstrings"",""glutes"",""shoulders"",""triceps""]","[""Stand with your feet shoulder-width apart and the barbell on the floor in front of you."",""Bend your knees and hinge at the hips to lower down and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart."",""Drive through your heels and extend your hips and knees to lift the barbell off the floor, keeping it close to your body."",""As the barbell reaches your thighs, explosively extend your hips, shrug your shoulders, and pull the barbell up towards your chest."",""As the barbell reaches chest height, quickly drop under it and catch it at shoulder level, with your elbows pointing forward and your palms facing up."",""From the catch position, press the barbell overhead by extending your arms and pushing the barbell straight up."",""Lower the barbell back down to the starting position and repeat for the desired number of repetitions.""]","The barbell clean and press is a compound exercise that targets the quads and involves lifting a barbell from the floor to the shoulders (clean) and then pressing it overhead (press). It requires strength, coordination, and explosive power.",advanced,strength,2026-01-03 11:41:22.258332+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0028.gif,W
29,barbell clean-grip front squat,upper legs,glutes,barbell,"[""quadriceps"",""hamstrings"",""calves"",""core""]","[""Start by standing with your feet shoulder-width apart and the barbell resting on your upper chest, with your elbows pointing forward."",""Lower your body by bending your knees and pushing your hips back, as if you are sitting back into a chair."",""Keep your chest up and your back straight as you lower down, making sure your knees do not go past your toes."",""Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go."",""Pause for a moment at the bottom, then push through your heels to stand back up, extending your hips and knees."",""Repeat for the desired number of repetitions.""]","The barbell clean-grip front squat is a compound lower body exercise that targets the glutes, quadriceps, and hamstrings, while also engaging the core for stability. It requires holding a barbell in the clean grip position on the front of the shoulders, demanding good mobility and strength.",intermediate,strength,2026-01-03 11:41:22.587598+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0029.gif,W
30,barbell close-grip bench press,upper arms,triceps,barbell,"[""chest"",""shoulders""]","[""Lie flat on a bench with your feet flat on the ground and your back pressed against the bench."",""Grasp the barbell with a close grip, slightly narrower than shoulder-width apart."",""Unrack the barbell and lower it slowly towards your chest, keeping your elbows close to your body."",""Pause for a moment when the barbell touches your chest."",""Push the barbell back up to the starting position, fully extending your arms."",""Repeat for the desired number of repetitions.""]","The barbell close-grip bench press is a compound exercise primarily targeting the triceps, with secondary emphasis on the chest and shoulders. It is performed by lying on a bench, gripping the barbell with a close grip, and pressing the weight up and down while keeping the elbows close to the body.",intermediate,strength,2026-01-03 11:41:22.747633+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0030.gif,W
31,barbell curl,upper arms,biceps,barbell,"[""forearms""]","[""Stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing forward."",""Keep your elbows close to your torso and exhale as you curl the weights while contracting your biceps."",""Continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level."",""Hold the contracted position for a brief pause as you squeeze your biceps."",""Inhale as you slowly begin to lower the bar back to the starting position."",""Repeat for the desired number of repetitions.""]","The barbell curl is a classic strength exercise targeting the biceps, performed by curling a barbell from the thighs to the shoulders while keeping the elbows close to the torso.",beginner,strength,2026-01-03 11:41:22.93678+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0031.gif,W
32,barbell deadlift,upper legs,glutes,barbell,"[""hamstrings"",""lower back""]","[""Stand with your feet shoulder-width apart and the barbell on the ground in front of you."",""Bend your knees and hinge at the hips to lower your torso and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart."",""Keep your back straight and chest lifted as you drive through your heels to lift the barbell off the ground, extending your hips and knees."",""As you stand up straight, squeeze your glutes and keep your core engaged."",""Lower the barbell back down to the ground by bending at the hips and knees, keeping your back straight."",""Repeat for the desired number of repetitions.""]","The barbell deadlift is a compound strength exercise that targets the glutes, hamstrings, and lower back. It involves lifting a loaded barbell from the ground to a standing position, emphasizing proper form and core engagement.",intermediate,strength,2026-01-03 11:41:23.109589+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0032.gif,W
33,barbell decline bench press,chest,pectorals,barbell,"[""triceps"",""shoulders""]","[""Lie on a decline bench with your feet secured and your head lower than your hips."",""Grasp the barbell with an overhand grip slightly wider than shoulder-width apart."",""Unrack the barbell and lower it slowly towards your chest, keeping your elbows tucked in."",""Pause for a moment at the bottom, then push the barbell back up to the starting position."",""Repeat for the desired number of repetitions.""]","The barbell decline bench press is a compound exercise targeting the lower portion of the pectoral muscles. It is performed on a decline bench, requiring the lifter to press a barbell upward from a declined position, engaging the chest, triceps, and shoulders.",intermediate,strength,2026-01-03 11:41:23.396174+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0033.gif,W
34,barbell decline bent arm pullover,back,lats,barbell,"[""triceps"",""chest""]","[""Lie down on a decline bench with your head lower than your hips and your feet secured."",""Hold a barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest."",""Lower the barbell behind your head in a controlled manner, keeping your arms slightly bent."",""Pause for a moment, then raise the barbell back to the starting position by contracting your lats."",""Repeat for the desired number of repetitions.""]","The barbell decline bent arm pullover is a compound exercise primarily targeting the lats, performed on a decline bench with a barbell. It also engages the triceps and chest as secondary muscles. The movement requires good control and strength to safely lower and lift the barbell over the head while maintaining proper form.",intermediate,strength,2026-01-03 11:41:23.638135+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0034.gif,W
35,barbell decline close grip to skull press,upper arms,triceps,barbell,"[""chest"",""shoulders""]","[""Lie on a decline bench with your head lower than your feet and hold a barbell with a close grip."",""Lower the barbell towards your forehead by bending your elbows, keeping your upper arms stationary."",""Pause for a moment, then extend your arms to press the barbell back up to the starting position."",""Repeat for the desired number of repetitions.""]","The barbell decline close grip to skull press is a compound exercise targeting the triceps, performed on a decline bench with a close grip on the barbell. It combines elements of a close grip press and a skull crusher, challenging both triceps strength and stability.",intermediate,strength,2026-01-03 11:41:24.248475+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0035.gif,W
36,barbell decline wide-grip press,chest,pectorals,barbell,"[""triceps"",""shoulders""]","[""Lie on a decline bench with your feet secured and your head lower than your hips."",""Grasp the barbell with a wide grip, slightly wider than shoulder-width apart."",""Lower the barbell to your chest, keeping your elbows out to the sides."",""Push the barbell back up to the starting position, fully extending your arms."",""Repeat for the desired number of repetitions.""]",The barbell decline wide-grip press is a compound chest exercise performed on a decline bench using a barbell with a wide grip. It targets the lower portion of the pectoral muscles and also engages the triceps and shoulders.,intermediate,strength,2026-01-03 11:41:24.380278+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0036.gif,W
37,barbell decline wide-grip pullover,back,lats,barbell,"[""triceps"",""chest""]","[""Lie on a decline bench with your head lower than your hips and your feet secured."",""Hold a barbell with a wide grip and extend your arms straight above your chest."",""Lower the barbell behind your head in a controlled manner, keeping your arms straight."",""Pause for a moment, then raise the barbell back to the starting position."",""Repeat for the desired number of repetitions.""]","The barbell decline wide-grip pullover is a compound exercise performed on a decline bench, targeting the lats while also engaging the triceps and chest. It requires a barbell and involves lowering the weight behind the head with straight arms, then returning to the starting position.",intermediate,strength,2026-01-03 11:41:24.49988+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0037.gif,W
38,barbell drag curl,upper arms,biceps,barbell,"[""forearms""]","[""Stand with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing up."",""Let the barbell hang at arm's length in front of your thighs."",""Keeping your upper arms stationary, curl the barbell up towards your chest by contracting your biceps."",""Pause for a moment at the top, then slowly lower the barbell back down to the starting position."",""Repeat for the desired number of repetitions.""]","The barbell drag curl is a biceps-focused exercise that involves curling a barbell while keeping the elbows pulled back, emphasizing the contraction of the biceps and minimizing shoulder involvement. It also engages the forearms as secondary muscles.",intermediate,strength,2026-01-03 11:41:24.638869+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0038.gif,W
39,barbell front chest squat,upper legs,glutes,barbell,"[""quadriceps"",""hamstrings"",""calves"",""core""]","[""Start by standing with your feet shoulder-width apart, toes slightly turned out."",""Hold the barbell in front of your chest with your hands shoulder-width apart, elbows pointing forward."",""Engage your core and keep your chest up as you lower your body down into a squat position, pushing your hips back and bending your knees."",""Lower until your thighs are parallel to the ground, or as low as you can comfortably go."",""Pause for a moment at the bottom, then push through your heels to return to the starting position."",""Repeat for the desired number of repetitions.""]","The barbell front chest squat is a compound lower body exercise that targets the glutes and also works the quadriceps, hamstrings, calves, and core. It involves holding a barbell at the front of the chest and performing a squat, which requires strength, balance, and proper technique.",intermediate,strength,2026-01-03 11:41:24.806012+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0039.gif,W
40,barbell front raise and pullover,chest,pectorals,barbell,"[""deltoids"",""triceps""]","[""Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, palms facing down."",""Keep your arms straight and raise the barbell in front of you until it reaches shoulder height."",""Pause for a moment at the top, then slowly lower the barbell back down to the starting position."",""Next, lower the barbell behind your head, keeping your arms straight."",""Pause for a moment at the bottom, then raise the barbell back up to the starting position."",""Repeat for the desired number of repetitions.""]","The barbell front raise and pullover is a compound exercise targeting the pectorals, with secondary emphasis on the deltoids and triceps. It involves raising a barbell in front of the body and then performing a pullover motion behind the head, requiring strength, coordination, and shoulder mobility.",intermediate,strength,2026-01-03 11:41:25.274521+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0040.gif,W
41,barbell front raise,shoulders,delts,barbell,"[""biceps"",""triceps""]","[""Stand with your feet shoulder-width apart and hold a barbell in front of your thighs with an overhand grip."",""Keep your arms straight and lift the barbell forward and upward until it reaches shoulder level."",""Pause for a moment at the top, then slowly lower the barbell back down to the starting position."",""Repeat for the desired number of repetitions.""]",The barbell front raise is a shoulder exercise that targets the deltoids by lifting a barbell from the thighs to shoulder height with straight arms.,beginner,strength,2026-01-03 11:41:25.4832+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0041.gif,W
42,barbell front squat,upper legs,glutes,barbell,"[""quadriceps"",""hamstrings"",""calves"",""core""]","[""Start by standing with your feet shoulder-width apart, toes slightly turned out."",""Hold the barbell in front of your shoulders, resting it on your collarbone and shoulders."",""Engage your core and keep your chest up as you lower your body down into a squat position, pushing your hips back and bending your knees."",""Lower until your thighs are parallel to the ground, or as low as you can comfortably go."",""Pause for a moment at the bottom, then push through your heels to return to the starting position."",""Repeat for the desired number of repetitions.""]","The barbell front squat is a compound lower body exercise that targets the glutes, quadriceps, and hamstrings, while also engaging the core for stability. The barbell is held in front of the shoulders, requiring good mobility and core strength to maintain proper posture throughout the movement.",intermediate,strength,2026-01-03 11:41:25.599046+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0042.gif,W
43,barbell full squat,upper legs,glutes,barbell,"[""quadriceps"",""hamstrings"",""calves"",""core""]","[""Stand with your feet shoulder-width apart, toes slightly turned out."",""Hold the barbell across your upper back, resting it on your traps or rear delts."",""Engage your core and keep your chest up as you begin to lower your body down."",""Bend at the knees and hips, pushing your hips back and down as if sitting into a chair."",""Lower yourself until your thighs are parallel to the ground or slightly below."",""Keep your knees in line with your toes and your weight in your heels."",""Drive through your heels to stand back up, extending your hips and knees."",""Repeat for the desired number of repetitions.""]","The barbell full squat is a compound lower body exercise that targets the glutes and also works the quadriceps, hamstrings, calves, and core. It involves squatting down with a barbell placed across the upper back, requiring strength, balance, and proper technique.",intermediate,strength,2026-01-03 11:41:25.723643+00,https://raw.githubusercontent.com/Jasonmrad1/MotionExercisesGifs/master/0043.gif,W
